序号,营业部名称,上榜日,买入个股数,卖出个股数,买入总金额,卖出总金额,总买卖净额,买入股票,营业部代码
1,国泰海通证券股份有限公司北京知春路证券营业部,2026-04-02,4,1,405685873.01,54702467.88,350983405.13,双鹭药业 美诺华 中利集团 中超控股 铭普光磁,10025390
2,国泰海通证券股份有限公司武汉紫阳东路证券营业部,2026-04-02,2,0,315488660.0,543012.0,314945648.0,中利集团 中超控股,10026937
3,开源证券股份有限公司西安太华路证券营业部,2026-04-02,4,2,349054427.0,106969864.24,242084562.76,中油工程 北大医药 大东南 中超控股 星辉环材,10477800
4,国泰海通证券股份有限公司三亚迎宾路证券营业部,2026-04-02,1,0,235916010.0,1620.0,235914390.0,新能泰山,10564207
5,中信证券股份有限公司上海徐汇区漕溪北路证券营业部,2026-04-02,1,0,188074020.72,2727625.0,185346395.72,中超控股,10131242
6,浙商证券股份有限公司杭州五星路证券营业部,2026-04-02,2,0,136703076.31,107967.0,136595109.31,星辉环材 博汇股份,10949092
7,国泰海通证券股份有限公司南京太平南路证券营业部,2026-04-02,2,0,131530594.0,76970.0,131453624.0,中油工程 新能泰山,10025054
8,国泰海通证券股份有限公司成都北一环路证券营业部,2026-04-02,2,1,243517171.0,119738640.0,123778531.0,益佰制药 特发信息 新能泰山,10026897
9,国泰海通证券股份有限公司上海徐汇区宜山路证券营业部,2026-04-02,2,1,197766358.0,93833324.0,103933034.0,中利集团 奥瑞德 中超控股,10026726
10,平安证券股份有限公司杭州曙光路证券营业部,2026-04-02,5,2,212035741.8,110524928.81,101510812.99,益佰制药 西藏矿业 巨星农牧 神剑股份 通达股份 新中港 星辉环材,10000136805
11,国泰海通证券股份有限公司上海浦东新区海阳西路证券营业部,2026-04-02,2,1,201297858.0,112546471.0,88751387.0,美诺华 中利集团 电光科技,10000526029
12,平安证券股份有限公司浙江分公司,2026-04-02,3,1,126917597.54,45420961.0,81496636.54,巨星农牧 西藏矿业 新中港 通达股份,10038679
13,金融街证券股份有限公司上海浦东新区成山路证券营业部,2026-04-02,1,0,79737334.8,359497.0,79377837.8,电光科技,10456489
14,中国国际金融股份有限公司上海分公司,2026-04-02,3,1,110399245.97,33919475.84,76479770.13,益佰制药 奥瑞德 华电能源 宏发股份,10088113
15,东亚前海证券有限责任公司苏州分公司,2026-04-02,2,0,68422014.0,79287.0,68342727.0,大东南 益佰制药,10000526027
16,中信建投证券股份有限公司杭州庆春路证券营业部,2026-04-02,1,0,66858875.34,,66858875.34,美诺华,10033779
17,万联证券股份有限公司上海浦东新区世纪大道证券营业部,2026-04-02,1,0,64673568.0,,64673568.0,喜临门,10134887
18,东方财富证券股份有限公司山南香曲东路证券营业部,2026-04-02,3,2,85773969.28,30147773.27,55626196.01,双鹭药业 广西能源 奥瑞德 华电能源,10281327
19,中国银河证券股份有限公司绍兴证券营业部,2026-04-02,1,0,55024816.44,184426.0,54840390.44,通达股份,10023543
20,广发证券股份有限公司佛山顺德诚德路证券营业部,2026-04-02,2,0,49872104.0,229500.0,49642604.0,中油工程 新能泰山,10384562
21,国泰海通证券股份有限公司上海分公司,2026-04-02,1,0,47153843.0,0.0,47153843.0,大东南,10201214
22,国金证券股份有限公司深圳分公司,2026-04-02,2,0,45003894.94,,45003894.94,美诺华 新中港,10000104821
23,国盛证券股份有限公司宁波桑田路证券营业部,2026-04-02,1,1,121588713.56,77709245.62,43879467.94,大东南 华电能源,10456710
24,国盛证券股份有限公司萍乡分公司,2026-04-02,1,0,30343445.48,0.0,30343445.48,润都股份,10076705
25,中国银河证券股份有限公司桂林中山中路证券营业部,2026-04-02,1,0,28816605.0,277135.0,28539470.0,新能泰山,10101590
26,国金证券股份有限公司西安朱雀大街证券营业部,2026-04-02,1,0,28443378.0,,28443378.0,益佰制药,10000476743
27,广发证券股份有限公司成都新光路证券营业部,2026-04-02,1,0,25280560.0,54852.0,25225708.0,润都股份,10052218
28,中泰证券股份有限公司北京中关村大街证券营业部,2026-04-02,2,0,25046387.0,390762.0,24655625.0,京基智农 能特科技,10022039
29,中国银河证券股份有限公司北京学院南路证券营业部,2026-04-02,1,0,24663188.0,92913.0,24570275.0,星辉环材,10023559
30,西南证券股份有限公司上海分公司,2026-04-02,1,0,23392420.58,49602.0,23342818.58,力诺药包,10125951
31,中信证券股份有限公司杭州延安路证券营业部,2026-04-02,1,0,20333732.0,164334.0,20169398.0,北大医药,10046704
32,中泰证券股份有限公司湖北分公司,2026-04-02,1,0,20050900.0,1550.0,20049350.0,双鹭药业,10484897
33,中信证券股份有限公司长兴明珠路证券营业部,2026-04-02,1,0,19901169.0,710.0,19900459.0,北大医药,10140897
34,华源证券股份有限公司深圳分公司,2026-04-02,1,0,18983862.0,,18983862.0,津药药业,10484869
35,东莞证券股份有限公司四川分公司,2026-04-02,1,0,18909684.0,,18909684.0,津药药业,10477736
36,国投证券股份有限公司深圳红荔西路证券营业部,2026-04-02,1,0,17864976.0,0.0,17864976.0,博汇股份,10106430
37,中国银河证券股份有限公司南京王府大街证券营业部,2026-04-02,1,1,40786489.14,24749570.0,16036919.14,大东南,10030460
38,华宝证券股份有限公司上海东大名路证券营业部,2026-04-02,2,0,15930500.0,62100.0,15868400.0,京基智农 能特科技,10456831
39,中国银河证券股份有限公司北京广安门证券营业部,2026-04-02,1,0,15549696.0,2128.0,15547568.0,能特科技,10989656
40,东方财富证券股份有限公司上海徐汇区云锦路证券营业部,2026-04-02,1,0,17852630.0,4057317.0,13795313.0,电光科技,10663558
41,东亚前海证券有限责任公司上海分公司,2026-04-02,1,1,37220634.0,23483633.24,13737000.76,顺发恒能 星辉环材,10924074
42,华龙证券股份有限公司长沙芙蓉中路证券营业部,2026-04-02,1,0,13680000.0,,13680000.0,喜临门,10573248
43,国金证券股份有限公司北京崇文门外大街证券营业部,2026-04-02,1,0,13252793.68,,13252793.68,益佰制药,10510717
44,方正证券股份有限公司长沙韶山南路证券营业部,2026-04-02,1,0,13233957.0,95625.0,13138332.0,能特科技,10139305
45,国泰海通证券股份有限公司上海浦东新区福山路证券营业部,2026-04-02,1,0,12204723.0,469784.0,11734939.0,博汇股份,10023613
46,西南证券股份有限公司重庆第三分公司,2026-04-02,1,0,10730453.0,21590.0,10708863.0,顺发恒能,10023627
47,华金证券股份有限公司上海分公司,2026-04-02,1,0,10379194.98,,10379194.98,津药药业,10456811
48,华西证券股份有限公司乐山嘉定南路证券营业部,2026-04-02,1,0,10372176.0,,10372176.0,喜临门,10028639
49,中信建投证券股份有限公司南昌北京东路证券营业部,2026-04-02,1,0,10463390.72,141483.0,10321907.72,顺发恒能,10131328
50,联储证券股份有限公司深圳金田路证券营业部,2026-04-02,1,0,10093914.0,,10093914.0,津药药业,10997832
51,开源证券股份有限公司西安西大街证券营业部,2026-04-02,1,0,9840565.0,,9840565.0,新中港,10046745
52,开源证券股份有限公司上海分公司,2026-04-02,1,0,9600463.0,,9600463.0,益佰制药,10544168
53,中国银河证券股份有限公司深圳坂田证券营业部,2026-04-02,1,0,8767772.6,,8767772.6,林平发展,10763956
54,华鑫证券有限责任公司西安科技路证券营业部,2026-04-02,1,0,8704628.0,,8704628.0,*ST集友,10030387
55,华泰证券股份有限公司深圳益田路荣超商务中心证券营业部,2026-04-02,1,0,8246304.0,,8246304.0,喜临门,10142874
56,华鑫证券有限责任公司西安解放路证券营业部,2026-04-02,1,0,8039499.6,,8039499.6,*ST集友,10028645
57,华泰证券股份有限公司南昌丰和中大道证券营业部,2026-04-02,1,0,7836098.0,,7836098.0,林平发展,10143706
58,平安证券股份有限公司重庆分公司,2026-04-02,1,0,7610307.0,280242.0,7330065.0,顺发恒能,10509002
59,国泰海通证券股份有限公司北京中关村大街证券营业部,2026-04-02,1,0,6661893.0,31867.0,6630026.0,富临运业,10455923
60,国金证券股份有限公司成都双楠路证券营业部,2026-04-02,1,0,6339366.0,,6339366.0,津药药业,10025246
61,国泰海通证券股份有限公司深圳分公司,2026-04-02,1,0,6326928.0,0.0,6326928.0,ST英飞拓,10046659
62,中国银河证券股份有限公司江苏分公司,2026-04-02,1,1,5785272.0,1464705.18,4320566.82,喜临门 立方退,10484786
63,中国银河证券股份有限公司金华证券营业部,2026-04-02,1,0,4289651.0,,4289651.0,*ST集友,10023547
64,财信证券股份有限公司石家庄建华南大街证券营业部,2026-04-02,1,0,5402463.0,1308762.0,4093701.0,顺发恒能,10549231
65,中信证券(山东)有限责任公司青岛香港中路证券营业部,2026-04-02,1,0,4083764.0,,4083764.0,威帝股份,10134745
66,东方财富证券股份有限公司拉萨团结路第二证券营业部,2026-04-02,3,1,8326963.25,5299876.0,3027087.25,ST英飞拓 金逸影视 立方退,10495103
67,华源证券股份有限公司广东分公司,2026-04-02,1,0,4982094.0,2119559.5,2862534.5,ST英飞拓,10508996
68,湘财证券股份有限公司上海陆家嘴证券营业部,2026-04-02,1,0,2729964.0,,2729964.0,威帝股份,10429176
69,申港证券股份有限公司陕西分公司,2026-04-02,1,0,1563950.0,0.0,1563950.0,长药退,10948128
70,中国银河证券股份有限公司成都龙腾路证券营业部,2026-04-02,1,0,1233468.0,0.0,1233468.0,长药退,10143847
71,中国银河证券股份有限公司北京望京证券营业部,2026-04-02,1,0,967129.44,0.0,967129.44,立方退,10030474
72,中国银河证券股份有限公司大连人民路证券营业部,2026-04-02,1,0,723000.0,0.0,723000.0,立方退,10023511
73,中国银河证券股份有限公司广州长堤证券营业部,2026-04-02,1,0,692026.0,0.0,692026.0,立方退,10436806
74,东方财富证券股份有限公司林芝广州大道证券营业部,2026-04-02,1,0,679536.0,0.0,679536.0,长药退,10159809
75,招商证券股份有限公司上海牡丹江路证券营业部,2026-04-02,1,0,817732.0,146176.0,671556.0,立方退,10176549
76,中国银河证券股份有限公司常州北大街证券营业部,2026-04-02,1,0,619072.0,0.0,619072.0,长药退,10511831
77,兴业证券股份有限公司南平滨江中路证券营业部,2026-04-02,1,0,638000.0,24321.0,613679.0,长药退,10027017
78,招商证券股份有限公司上海江苏路证券营业部,2026-04-02,1,1,7292410.0,7645578.0,-353168.0,威帝股份,10128358
79,国金证券股份有限公司上海互联网证券分公司,2026-04-02,0,1,9500.0,367403.0,-357903.0,长药退,10074763
80,方正证券股份有限公司衡阳长丰大道证券营业部,2026-04-02,0,1,0.0,386284.0,-386284.0,长药退,10139312
