序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000048,京基智农,2026-04-02,3家机构卖出，成功率26.33%,19.16,-10.0047,-19778880.4,39415698.0,59194578.4,98610276.4,263968465,-7.492895183521,37.356839727049,2.5888,10085048978.0,日跌幅偏离值达到7%的前5只证券,,,,
2,000070,特发信息,2026-04-02,4家机构买入，成功率31.28%,19.37,4.9864,198865393.6,1455422212.65,1256556819.05,2711979031.7,10169806980,1.955449046291,26.666966610413,22.75,17213709363.24,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000631,顺发恒能,2026-04-02,主力做T，成功率21.15%,3.56,-9.8734,733878.799999997,46531612.72,45797733.92,92329346.64,441542219,0.166208069901,20.910649688065,5.2575,8188000302.6,日跌幅偏离值达到7%的前5只证券,,,,
4,000692,惠天热电,2026-04-02,2家机构卖出，成功率39.10%,4.26,-4.698,20388457.2,51816277.2,31427820.0,83244097.2,256756731,7.940768337637,32.42138847764,11.1735,2269868477.76,日振幅值达到15%的前5只证券,,,,
5,000720,新能泰山,2026-04-02,买一主买，成功率46.17%,5.4,9.9796,384411925.0,494299407.0,109887482.0,604186889.0,1370324229,28.052625565887,44.090798090968,20.5188,6785270483.4,日振幅值达到15%的前5只证券,,,,
6,000762,西藏矿业,2026-04-02,2家机构买入，成功率29.51%,31.26,9.993,111948689.64,394986607.47,283037917.83,678024525.3,1982438830,5.647018608892,34.201535756844,12.4215,16280227318.68,日涨幅偏离值达到7%的前5只证券,,,,
7,000788,北大医药,2026-04-02,1家机构买入，成功率32.04%,7.22,10.061,50634004.79,192039029.94,141405025.15,333444055.09,1412272198,3.585286523498,23.610466563189,23.1393,4303029208.5,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
8,002038,双鹭药业,2026-04-02,1家机构买入，成功率42.40%,8.55,10.0386,94260223.25,172716790.11,78456566.86,251173356.97,1509525171,6.244362469793,16.639229460719,21.9353,7283860159.95,日涨幅偏离值达到7%的前5只证券,,,,
9,002102,能特科技,2026-04-02,主力做T，成功率32.29%,3.0,-9.9099,-6149915.0,84070252.0,90220167.0,174290419.0,507080261,-1.212808991593,34.371367297218,7.6533,6518651952.0,日跌幅偏离值达到7%的前5只证券,,,,
10,002263,大东南,2026-04-02,普通席位买入，成功率45.21%,4.73,10.0,319521445.95,458551553.93,139030107.98,597581661.91,2576541152,12.401177668052,23.193173586463,30.1096,8884572323.0,日换手率达到20%的前5只证券,,,,
11,002263,大东南,2026-04-02,普通席位买入，成功率45.21%,4.73,10.0,319521445.95,458551553.93,139030107.98,597581661.91,2576541152,12.401177668052,23.193173586463,30.1096,8884572323.0,日涨幅偏离值达到7%的前5只证券,,,,
12,002309,中利集团,2026-04-02,1家机构买入，成功率48.45%,4.98,9.9338,-205096783.0,557016562.0,762113345.0,1319129907.0,3568213733,-5.747883909061,36.968915140936,30.0415,11982538893.84,日涨幅偏离值达到7%的前5只证券,,,,
13,002357,富临运业,2026-04-02,3家机构卖出，成功率26.37%,13.01,-10.0277,-73323472.3,45394842.0,118718314.3,164113156.3,414605004,-17.685139251238,39.583013884705,9.9024,4078345995.86,日跌幅偏离值达到7%的前5只证券,,,,
14,002361,神剑股份,2026-04-02,4家机构买入，成功率18.24%,17.29,1.7059,-310053626.79,636525970.08,946579596.87,1583105566.95,5977900916,-5.186663866578,26.482633104754,42.4386,13989736393.36,日换手率达到20%的前5只证券,,,,
15,002471,中超控股,2026-04-02,普通席位买入，成功率49.34%,9.36,6.1224,631110937.43,835296474.1,204185536.67,1039482010.77,4335369326,14.557258908604,23.976781044605,33.893,12564852421.68,日换手率达到20%的前5只证券,,,,
16,002528,ST英飞拓,2026-04-02,普通席位买入，成功率31.99%,4.15,4.2714,-6503941.73,28433853.25,34937794.98,63371648.23,342213871,-1.900548832516,18.518141314617,7.3334,4358411244.55,连续三个交易日内，涨幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券,,,,
17,002560,通达股份,2026-04-02,4家机构买入，成功率41.11%,13.06,10.0253,136433580.25,406139766.9,269706186.65,675845953.55,2709401042,5.035562404202,24.944478247159,46.5842,5915344186.12,日涨幅偏离值达到7%的前5只证券,,,,
18,002560,通达股份,2026-04-02,4家机构买入，成功率41.11%,13.06,10.0253,136433580.25,406139766.9,269706186.65,675845953.55,2709401042,5.035562404202,24.944478247159,46.5842,5915344186.12,日换手率达到20%的前5只证券,,,,
19,002730,电光科技,2026-04-02,3家机构买入，成功率31.58%,29.49,1.1664,43110078.95,462578231.17,419468152.22,882046383.39,4347423014,0.991623746094,20.288947740985,15.3315,10204421161.2,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
20,002730,电光科技,2026-04-02,2家机构买入，成功率39.07%,29.49,1.1664,-21656143.27,157761779.34,179417922.61,337179701.95,1483965625,-1.459342649531,22.721530490304,15.3315,10204421161.2,日振幅值达到15%的前5只证券,,,,
21,002902,铭普光磁,2026-04-02,主力做T，成功率17.61%,27.64,-3.9611,-186837807.19,120058105.07,306895912.26,426954017.33,1649834564,-11.324638922403,25.878595748101,33.0314,4909755279.44,日换手率达到20%的前5只证券,,,,
22,002905,金逸影视,2026-04-02,3家机构卖出，成功率30.78%,10.2,-9.9735,-13497195.92,14979474.0,28476669.92,43456143.92,201015563,-6.714502956172,21.618298240918,5.5792,3564288000.0,日跌幅偏离值达到7%的前5只证券,,,,
23,002923,润都股份,2026-04-02,1家机构买入，成功率34.40%,17.35,0.6381,-30487501.21,95791884.1,126279385.31,222071269.41,1039146306,-2.933898820019,21.370548894585,22.7093,4477771852.55,日振幅值达到15%的前5只证券,,,,
24,300086,康芝药业,2026-04-02,4家机构买入，成功率2.27%,9.9,16.061,-80297480.37,82356311.77,162653792.14,245010103.91,1154033817,-6.957983309253,21.230756005654,27.8425,4362756967.8,日涨幅达到15%的前5只证券,,,,
25,300164,通源石油,2026-04-02,5家机构买入，成功率10.43%,15.72,6.288,-140096032.06,260939470.57,401035502.63,661974973.2,3074912853,-4.556097644306,21.528251526028,33.5531,9168073430.16,日换手率达到30%的前5只证券,,,,
26,300344,立方退,2026-04-02,主力做T，成功率26.65%,0.4,0.0,-155512.68,5334543.44,5490056.12,10824599.56,31418500,-0.494971688655,34.452948294795,11.9551,255997666.4,退市整理期,,,,
27,300391,长药退,2026-04-02,普通席位买入，成功率30.00%,0.31,3.3333,2473582.5,4825803.0,2352220.5,7178023.5,12040535,20.543792281655,59.61548635505,10.8424,108604194.72,退市整理期,,,,
28,300834,星辉环材,2026-04-02,2家机构买入，成功率29.44%,43.49,20.0055,-59821373.99,273773846.91,333595220.9,607369067.81,1587093496,-3.769240699478,38.269268278194,11.652,8368640618.71,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
29,300834,星辉环材,2026-04-02,2家机构买入，成功率39.06%,43.49,20.0055,-67364272.14,102871053.19,170235325.33,273106378.52,939894278,-7.167218028324,29.057138117826,11.652,8368640618.71,日涨幅达到15%的前5只证券,,,,
30,300839,博汇股份,2026-04-02,买一主买，成功率41.93%,16.69,19.9856,131347336.13,170795051.13,39447715.0,210242766.13,373412622,35.174851730106,56.303068976067,7.8181,4834910361.33,日涨幅达到15%的前5只证券,,,,
31,301188,力诺药包,2026-04-02,5家机构买入，成功率39.10%,23.59,15.3545,79831666.51,353644983.98,273813317.47,627458301.45,2161072769,3.694075815269,29.034575348444,22.9176,6311188747.85,连续三个交易日内，涨幅偏离值累计达到30%的证券,,,,
